"BOROUGH","NEIGHBORHOOD","TYPE OF HOME","NUMBER OF SALES","LOWEST SALE PRICE","AVERAGE SALE PRICE","MEDIAN SALE PRICE","HIGHEST SALE PRICE","YEAR"
"5","ELTINGVILLE","01 ONE FAMILY DWELLINGS","165","$228,800","$732,970.9575757575","$703,000","$2,099,999","2024"
"5","DONGAN HILLS-OLD TOWN","02 TWO FAMILY DWELLINGS","1","$998,000","$998,000","$998,000","$998,000","2024"
"5","DONGAN HILLS-OLD TOWN","01 ONE FAMILY DWELLINGS","3","$497,000","$585,333.3333333334","$565,000","$694,000","2024"
"5","DONGAN HILLS-COLONY","03 THREE FAMILY DWELLINGS","1","$990,000","$990,000","$990,000","$990,000","2024"
"5","DONGAN HILLS-COLONY","02 TWO FAMILY DWELLINGS","5","$800,000","$977,000","$995,000","$1,180,000","2024"
"5","DONGAN HILLS-COLONY","01 ONE FAMILY DWELLINGS","33","$500,000","$1,023,715.606060606","$905,000","$2,200,000","2024"
"5","DONGAN HILLS","03 THREE FAMILY DWELLINGS","4","$512,500","$728,124.75","$700,000","$999,999","2024"
"5","DONGAN HILLS","02 TWO FAMILY DWELLINGS","16","$250,000","$859,920.3125","$834,000","$1,323,725","2024"
"5","DONGAN HILLS","01 ONE FAMILY DWELLINGS","29","$240,000","$776,189.6551724138","$738,000","$1,390,000","2024"
"5","CONCORD-FOX HILLS","02 TWO FAMILY DWELLINGS","1","$580,000","$580,000","$580,000","$580,000","2024"
"5","CONCORD-FOX HILLS","01 ONE FAMILY DWELLINGS","27","$210,000","$501,561.4814814815","$505,000","$720,000","2024"
"5","CONCORD","02 TWO FAMILY DWELLINGS","13","$380,000","$752,670.3076923077","$755,000","$1,298,269","2024"
"5","CONCORD","01 ONE FAMILY DWELLINGS","36","$237,500","$497,188.1944444444","$500,000","$712,775","2024"
"5","CLOVE LAKES","02 TWO FAMILY DWELLINGS","3","$480,000","$684,666.6666666666","$710,000","$864,000","2024"
"5","CLOVE LAKES","01 ONE FAMILY DWELLINGS","37","$238,970","$731,891.0810810811","$685,000","$1,680,000","2024"
"5","CASTLETON CORNERS","02 TWO FAMILY DWELLINGS","14","$610,000","$935,595.5714285715","$834,520","$1,560,000","2024"
"5","CASTLETON CORNERS","01 ONE FAMILY DWELLINGS","64","$272,000","$631,755.328125","$637,500","$950,000","2024"
"5","BULLS HEAD","03 THREE FAMILY DWELLINGS","1","$885,000","$885,000","$885,000","$885,000","2024"
"5","BULLS HEAD","02 TWO FAMILY DWELLINGS","53","$210,000","$799,320.4150943396","$800,000","$1,300,000","2024"
